Gene ID	source_id	Computed GO Component IDs	Computed GO Function IDs	Computed GO Process IDs	Curated GO Component IDs	Curated GO Function IDs	Curated GO Process IDs
PF3D7_0415100	PF3D7_0415100.1	N/A	N/A	N/A	GO:0005737	GO:0070042	GO:0070475
PF3D7_0415200	PF3D7_0415200.1	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0415300	PF3D7_0415300.1	N/A	GO:0005524;GO:0004672	GO:0006468	GO:0000307;GO:0005634	GO:0008353;GO:0004693;GO:0004407;GO:0004672	GO:0070816;GO:0032968;GO:0006468
PF3D7_0415400	PF3D7_0415400.1	GO:0030126;GO:0000139	N/A	GO:0006890	GO:0030126	N/A	GO:0006891;GO:0006886;GO:0006890
PF3D7_0415500	PF3D7_0415500.1	GO:0005846;GO:0005634	GO:0000339;GO:0003676	GO:0045292	GO:0005846	GO:0000339	GO:0006397;GO:0000398
PF3D7_0415600	PF3D7_0415600.1	N/A	GO:0005524;GO:0004017;GO:0019205;GO:0016776	GO:0006139	GO:0005737;GO:0005759;GO:0005739	GO:0005525;GO:0004017;GO:0046899	GO:0006139;GO:0009132;GO:0006163
PF3D7_0415700	PF3D7_0415700.1	N/A	N/A	N/A	GO:0020011	N/A	N/A
PF3D7_0415800	PF3D7_0415800.1	N/A	N/A	N/A	GO:0070258	GO:0008270	N/A
PF3D7_0415900	PF3D7_0415900.1	GO:0005840	GO:0003735	GO:0006412	GO:0022625;GO:0005634;GO:0005840	GO:0003723;GO:0003735	GO:0002181;GO:0006412
PF3D7_0416000	PF3D7_0416000.1	N/A	GO:0003676	N/A	N/A	GO:0003723;GO:0003676	N/A
PF3D7_0416100	PF3D7_0416100.1	N/A	GO:0016787;GO:0016740	N/A	GO:0020011;GO:0030956	GO:0050567	GO:0070681
PF3D7_0416200	PF3D7_0416200.1	N/A	GO:0003725	N/A	GO:0005730	GO:0003725;GO:0019901;GO:0004860	GO:0006469
PF3D7_0416300	PF3D7_0416300.1	N/A	GO:0005524;GO:0003677;GO:0003678	GO:0032508	GO:0042555;GO:0005634	GO:0008094;GO:0003688;GO:0003697	GO:0006270;GO:0000724
PF3D7_0416400	PF3D7_0416400.1	GO:0000781;GO:0005634	GO:0004402	GO:0006325;GO:0006348;GO:0016573	GO:0005634	GO:0010485	GO:0043967
PF3D7_0416500	PF3D7_0416500.1	N/A	N/A	GO:0016480	GO:0005737;GO:0005634	GO:0000994	GO:0016480
PF3D7_0416600	PF3D7_0416600.1	N/A	N/A	N/A	GO:0005739	N/A	GO:0051881
PF3D7_0416700	PF3D7_0416700.1	GO:0043231	GO:0051537;GO:0046872	N/A	GO:0005739	N/A	N/A
PF3D7_0416800	PF3D7_0416800.1	GO:0005794	GO:0005525	GO:0006886	GO:0030127;GO:0020036;GO:0005783;GO:0070971;GO:0020020	GO:0003924	GO:0006888;GO:0006886;GO:0061024;GO:0070863;GO:0003400;GO:0016050
PF3D7_0416900	PF3D7_0416900.1	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0417000	PF3D7_0417000.1	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0417100	PF3D7_0417100.1	N/A	GO:0003723	N/A	GO:0005737;GO:0005829	GO:0003723;GO:0003729;GO:0005515	GO:0017148;GO:0010608
PF3D7_0417200	PF3D7_0417200.1	N/A	GO:0004146;GO:0004799	GO:0006231;GO:0032259;GO:0006730;GO:0055114;GO:0046654	GO:0005737;GO:0005829;GO:0005739	GO:0003723;GO:0004799	GO:0006231;GO:0042493;GO:0009410
PF3D7_0417300	PF3D7_0417300.1	GO:0016021;GO:0005739	GO:0043022	N/A	GO:0020036;GO:0005739	N/A	GO:0006875
PF3D7_0417400	PF3D7_0417400.1	GO:0016021	N/A	N/A	N/A	N/A	N/A
PF3D7_0417500	PF3D7_0417500.1	N/A	N/A	N/A	GO:0005634	N/A	N/A
PF3D7_0417600	PF3D7_0417600.1	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0417700	PF3D7_0417700.1	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0417800	PF3D7_0417800.1	N/A	GO:0005524;GO:0004672	GO:0006468	GO:0005634	GO:0004693;GO:0004672	GO:0006468;GO:0010468;GO:0007346
PF3D7_0417900	PF3D7_0417900.1	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0418000	PF3D7_0418000.1	GO:0016021	N/A	N/A	GO:0005789;GO:0005634	GO:0003700;GO:0043565	GO:0045893;GO:0016540
PF3D7_0418100	PF3D7_0418100.1	N/A	GO:0019903	GO:0043666	GO:0005737	GO:0019888	GO:0043666
PF3D7_0418200	PF3D7_0418200.1	GO:0005737;GO:0016282;GO:0033290;GO:0005852;GO:0071541	GO:0003743	GO:0001732	GO:0005852;GO:0005634	GO:0003743	GO:0002183
PF3D7_0418300	PF3D7_0418300.1	N/A	N/A	N/A	GO:0005634	N/A	N/A
PF3D7_0418400	PF3D7_0418400.1	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0418500	PF3D7_0418500.1	GO:0030008;GO:0005783	N/A	GO:0048193	GO:0005794;GO:0020036;GO:0030008;GO:0033106;GO:0005829	GO:0003723	GO:0006888;GO:0006891
PF3D7_0418600	PF3D7_0418600.1	N/A	N/A	N/A	GO:0005829	N/A	N/A
PF3D7_0418700	PF3D7_0418700.1	GO:0005634	GO:0004521;GO:0046872	GO:0000469;GO:0042274	GO:0030688	GO:0004521	GO:0030490
PF3D7_0418800	PF3D7_0418800.1	GO:0005892	N/A	N/A	GO:0044312	N/A	N/A
PF3D7_0418900	PF3D7_0418900.1	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0419000	PF3D7_0419000.1	GO:0005858	N/A	GO:0070286	GO:0005930	N/A	GO:0070286;GO:0060285;GO:0003352
PF3D7_0419100	PF3D7_0419100.1	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0419200	PF3D7_0419200.1	GO:0000139;GO:0016021	N/A	GO:0016192	N/A	N/A	N/A
PF3D7_0419300	PF3D7_0419300.1	N/A	N/A	N/A	GO:0033065;GO:0005657	N/A	GO:0045003;GO:0071140;GO:0090656;GO:0000722
PF3D7_0419400	PF3D7_0419400.1	GO:0016021	N/A	N/A	N/A	N/A	N/A
PF3D7_0419500	PF3D7_0419500.1	GO:0016021	N/A	N/A	N/A	N/A	N/A
PF3D7_0419600	PF3D7_0419600.1	N/A	N/A	GO:0046907;GO:0043547	GO:0005737;GO:0005643;GO:0005634	GO:0005525;GO:0003924	GO:0006260;GO:0006405;GO:0006606
PF3D7_0419700	PF3D7_0419700.1	N/A	N/A	N/A	GO:0046658;GO:0020008;GO:1990225	N/A	N/A
PF3D7_0419800	PF3D7_0419800.1	N/A	N/A	N/A	GO:0031429;GO:0005634;GO:0005840	GO:0003723;GO:0034513;GO:0003735	GO:0000469;GO:0000470;GO:0031118;GO:0031120;GO:0006412
PF3D7_0419900	PF3D7_0419900.1	GO:0016021	GO:0016301	GO:0046854;GO:0048015	GO:0005737;GO:0016020	GO:0004430;GO:0052742	GO:0046488;GO:0046854;GO:0048015
PF3D7_0420000	PF3D7_0420000.1	N/A	GO:0008270	N/A	GO:0005737;GO:0016020;GO:0005634	N/A	N/A
PF3D7_0420100	PF3D7_0420100.1	N/A	GO:0005524;GO:0004672;GO:0004674	GO:0006468	GO:0005829;GO:0005634;GO:0030688	GO:0004672	GO:0030490
PF3D7_0420200	PF3D7_0420200.1	N/A	GO:0004519;GO:0008897;GO:0000287;GO:0004222	GO:0006633;GO:0006364	GO:0020011	GO:0016740	GO:0006633
PF3D7_0420300	PF3D7_0420300.1	GO:0005634	GO:0003677;GO:0003700	GO:0006355	GO:0005634	GO:0005515;GO:0043565	N/A
PF3D7_0420400	PF3D7_0420400.1	N/A	N/A	GO:0006412	GO:0005829;GO:0005739;GO:0005634	GO:0043023	GO:0032790;GO:0006412
PF3D7_0420500	PF3D7_0420500.1	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0420600	PF3D7_0420600.1	N/A	N/A	N/A	GO:0000776;GO:0005634	N/A	N/A
PF3D7_0420700	PF3D7_0420700.1	GO:0016021	GO:0046789	GO:0009405	GO:0020002;GO:0020030	GO:0050839	GO:0020033;GO:0098609;GO:0020035;GO:0020013
PF3D7_0420800	PF3D7_0420800.1	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0420900	PF3D7_0420900.1	GO:0016021	GO:0046789	GO:0009405	GO:0020002;GO:0020030	GO:0050839	GO:0020033;GO:0098609;GO:0020035;GO:0020013
PF3D7_0421000	PF3D7_0421000.1	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0421100	PF3D7_0421100.1	GO:0016021	GO:0046789	GO:0009405	GO:0020002;GO:0020030	GO:0050839	GO:0020033;GO:0098609;GO:0020035;GO:0020013
PF3D7_0421200	PF3D7_0421200.1	GO:0016021	N/A	N/A	GO:0020002	N/A	GO:0020033
PF3D7_0421300	PF3D7_0421300.1	GO:0016021	GO:0046789	GO:0009405	GO:0020002;GO:0020030	GO:0050839	GO:0020033;GO:0098609;GO:0020035;GO:0020013
PF3D7_0421400	PF3D7_0421400.1	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0421500	PF3D7_0421500.1	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0421600	PF3D7_0421600.1	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0421700	PF3D7_0421700.1	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0421800	PF3D7_0421800.1	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0421900	PF3D7_0421900.1	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0422000	PF3D7_0422000.1	GO:0016021	GO:0003857	GO:0055114	N/A	GO:0016491	GO:0006633
PF3D7_0422100	PF3D7_0422100.1	GO:0016021	N/A	N/A	GO:0030134;GO:0005794;GO:0020011;GO:0005783;GO:0005793;GO:0005634	GO:0003723;GO:0005515	GO:0007030;GO:0006888;GO:0006886
PF3D7_0422200	PF3D7_0422200.1	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0422300	PF3D7_0422300.1	GO:0005874	GO:0005525;GO:0003924;GO:0005200	GO:0007017	GO:0005737;GO:0005874;GO:0005634	GO:0005525;GO:0005200	GO:0000226;GO:0007017;GO:0000278
PF3D7_0422400	PF3D7_0422400.1	GO:0005840	GO:0003735	GO:0006412	GO:0022627;GO:1903561;GO:0005634	GO:0003723;GO:0003735	GO:0000028;GO:0006412
PF3D7_0422500	PF3D7_0422500.1	N/A	GO:0005524;GO:0003676	N/A	GO:0010494;GO:0005681	GO:0003724;GO:0003729	GO:0000375;GO:0006417
PF3D7_0422600	PF3D7_0422600.1	N/A	N/A	N/A	GO:0005634	N/A	N/A
PF3D7_0422700	PF3D7_0422700.1	N/A	GO:0005524;GO:0004386;GO:0003676	N/A	GO:0071013;GO:0016281;GO:0005730;GO:0005634	GO:0003723;GO:0003724;GO:0003729;GO:0003743	GO:0006417;GO:0006446
PF3D7_0422800	PF3D7_0422800.1	GO:0016021	N/A	GO:0007186;GO:0019236	N/A	N/A	N/A
PF3D7_0422900	PF3D7_0422900.1	N/A	GO:0008168	GO:0032259	N/A	N/A	N/A
PF3D7_0423000	PF3D7_0423000.1	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0423100	PF3D7_0423100.1	GO:0016020	N/A	GO:0006886;GO:0015031	GO:0043231;GO:0030141;GO:0030133	N/A	GO:0016192
PF3D7_0423200	PF3D7_0423200.1	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0423300	PF3D7_0423300.1	GO:0016021	N/A	N/A	N/A	N/A	N/A
PF3D7_0423400	PF3D7_0423400.1	N/A	N/A	N/A	GO:0045177;GO:0020008;GO:1990225	GO:0046789	GO:0098609;GO:0044409
PF3D7_0423500	PF3D7_0423500.1	GO:0016021	N/A	N/A	GO:0009986;GO:0070258;GO:0032991	GO:0003723;GO:0005515	GO:0044409
PF3D7_0423600	PF3D7_0423600.1	GO:0016021	N/A	N/A	N/A	N/A	N/A
PF3D7_0423700	PF3D7_0423700.1	GO:0016021	N/A	N/A	GO:0020005	N/A	N/A
PF3D7_0423800	PF3D7_0423800.1	GO:0031410;GO:0005576;GO:0020002;GO:0034494	N/A	N/A	GO:0046658;GO:0045177;GO:0009986;GO:0043655;GO:0016021;GO:0020009;GO:0032991	GO:0005515	GO:0044409
PF3D7_0423900	PF3D7_0423900.1	GO:0016021	N/A	N/A	N/A	N/A	N/A
PF3D7_0424000	PF3D7_0424000.1	N/A	N/A	N/A	GO:0020036	GO:0005515;GO:0044877	N/A
PF3D7_0424100	PF3D7_0424100.1	GO:0031410;GO:0005576;GO:0020002;GO:0016020	N/A	N/A	GO:0045177;GO:0005923;GO:0009986;GO:0033644;GO:0043655;GO:0032991;GO:0020008;GO:0034591	GO:0008201;GO:0046789;GO:0005515	GO:0044409;GO:0051205
PF3D7_0424200	PF3D7_0424200.1	GO:0016021	N/A	N/A	GO:0045177;GO:0020008	GO:0008201;GO:0046789	GO:0044409
PF3D7_0424300	PF3D7_0424300.1	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0424400	PF3D7_0424400.1	N/A	N/A	N/A	GO:0020036;GO:0009986;GO:0030430;GO:0044164;GO:0044228;GO:1990225;GO:0020003	GO:0003779;GO:0046812;GO:0005515;GO:0030507	GO:0044409
PF3D7_0424500	PF3D7_0424500.1	GO:0016021	GO:0005524;GO:0004672	GO:0006468	GO:0020036;GO:0005737;GO:0044538;GO:0005634	GO:0004674	GO:0020035;GO:0035556;GO:0044003;GO:0006468
PF3D7_0424600	PF3D7_0424600.1	N/A	N/A	N/A	GO:1903561;GO:0044538;GO:0044228;GO:0005634	N/A	GO:0020035
PF3D7_0424700	PF3D7_0424700.1	GO:0016021	GO:0005524;GO:0004672	GO:0006468	GO:0020036;GO:0005737;GO:0030430;GO:0044538;GO:0005634	GO:0016301;GO:0004674	GO:0035556;GO:0044003;GO:0006468
PF3D7_0424800	PF3D7_0424800.1	N/A	N/A	N/A	GO:0043657	N/A	N/A
PF3D7_0424900	PF3D7_0424900.1	GO:0016021	N/A	N/A	GO:0043657	N/A	N/A
PF3D7_0425000	PF3D7_0425000.1	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0425050	PF3D7_0425050.1	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0425100	PF3D7_0425100.1	GO:0016021	N/A	N/A	GO:0043657	N/A	N/A
PF3D7_0425200	PF3D7_0425200.1	GO:0016021	N/A	N/A	GO:0043657	N/A	N/A
PF3D7_0425250	PF3D7_0425250.1	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0425300	PF3D7_0425300.1	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0425400	PF3D7_0425400.1	GO:0016021	N/A	N/A	GO:0043657	N/A	N/A
PF3D7_0425500	PF3D7_0425500.1	GO:0016021	N/A	N/A	GO:0020036	N/A	GO:0020013
PF3D7_0425600	PF3D7_0425600.1	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0425700	PF3D7_0425700.1	GO:0016021	N/A	N/A	GO:0020036;GO:0020002;GO:0020003	N/A	GO:0020033;GO:0020035;GO:0020013
PF3D7_0425800	PF3D7_0425800.1	GO:0016021	GO:0046789	GO:0009405	GO:0020002;GO:0020030	GO:0050839	GO:0020033;GO:0098609;GO:0020035;GO:0020013
PF3D7_0425900	PF3D7_0425900.1	GO:0016021	N/A	N/A	GO:0020036;GO:0020002;GO:0020003	N/A	GO:0020033;GO:0020035;GO:0020013
PF3D7_0426000	PF3D7_0426000.1	GO:0016021	GO:0046789	GO:0009405	GO:0020002;GO:0020030	GO:0050839	GO:0020033;GO:0098609;GO:0020035;GO:0020013
PF3D7_0500100	PF3D7_0500100.1	GO:0016021	GO:0046789	GO:0009405	GO:0020002;GO:0020030	GO:0050839	GO:0020033;GO:0098609;GO:0020035;GO:0020013
PF3D7_0500200	PF3D7_0500200.1	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0500300	PF3D7_0500300.1	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0500400	PF3D7_0500400.1	GO:0016021	N/A	N/A	GO:0020036;GO:0020002;GO:0020003	N/A	GO:0020033;GO:0020035;GO:0020013
PF3D7_0500500	PF3D7_0500500.1	GO:0016021	N/A	N/A	GO:0020002	N/A	GO:0020033
PF3D7_0500600	PF3D7_0500600.1	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0500700	PF3D7_0500700.1	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0500800	PF3D7_0500800.1	N/A	N/A	N/A	GO:0020036;GO:0020002;GO:0020030;GO:0005634	GO:0005515	N/A
PF3D7_0500900	PF3D7_0500900.1	N/A	GO:0005524;GO:0004672	GO:0006468	GO:0005737;GO:0005634	GO:0004674	GO:0035556;GO:0044003;GO:0006468
PF3D7_0501000	PF3D7_0501000.1	GO:0016021	N/A	N/A	GO:0020036;GO:1903561;GO:0005634	N/A	N/A
PF3D7_0501100	PF3D7_0501100.1	GO:0016021	GO:0051082	GO:0006457	GO:0005829;GO:0044164	GO:0001671;GO:0051087;GO:0005515;GO:0051082	GO:0051085;GO:0032781
PF3D7_0501100	PF3D7_0501100.2	GO:0016021	GO:0051082	GO:0006457	GO:0005829	GO:0051087;GO:0051082	GO:0051085
PF3D7_0501200	PF3D7_0501200.1	GO:0016021	N/A	N/A	GO:0020036;GO:0009986;GO:0030430;GO:0044228;GO:0005634	GO:0046812;GO:0005515	N/A
PF3D7_0501300	PF3D7_0501300.1	N/A	GO:0046872;GO:0004721	N/A	GO:0020036;GO:0005737;GO:1903561;GO:0016021;GO:0016020;GO:0005634;GO:0020004;GO:0020005	GO:0005515	GO:0015031
PF3D7_0501400	PF3D7_0501400.1	N/A	N/A	N/A	GO:0020036;GO:0005615	GO:0004867	N/A
PF3D7_0501500	PF3D7_0501500.1	N/A	N/A	N/A	GO:1903561;GO:0020020;GO:0005634;GO:0020008	GO:0003723	N/A
PF3D7_0501600	PF3D7_0501600.1	N/A	N/A	N/A	GO:1903561;GO:0020020;GO:0005634;GO:0020008	GO:0003723;GO:0005515	GO:0044409
PF3D7_0501700	PF3D7_0501700.1	N/A	GO:0005515	N/A	GO:0005680;GO:0005737	N/A	GO:0031145;GO:0051301;GO:0030261;GO:0000910;GO:0007091;GO:0045842;GO:0016567
PF3D7_0501800	PF3D7_0501800.1	GO:0005634	GO:0005515	GO:0006325;GO:0006351	GO:0000417;GO:0005634	GO:0042393;GO:0005515;GO:0003714	GO:0006336;GO:0000070;GO:0031935
PF3D7_0501900	PF3D7_0501900.1	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0502000	PF3D7_0502000.1	GO:0016021	N/A	GO:0006886;GO:0016192	GO:0030897;GO:0005768;GO:0016020;GO:0005634	GO:0030674;GO:0008270	GO:0007032;GO:0006886;GO:0035542;GO:0007033;GO:0006904;GO:0016192
PF3D7_0502100	PF3D7_0502100.1	N/A	N/A	GO:0006355	GO:0005634	N/A	N/A
PF3D7_0502200	PF3D7_0502200.1	GO:0016021	N/A	N/A	GO:0005737;GO:0005743;GO:0005739	N/A	N/A
PF3D7_0502300	PF3D7_0502300.1	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0502400	PF3D7_0502400.1	GO:0016021	N/A	N/A	GO:0020036;GO:0020020;GO:0016020;GO:0005886;GO:0020003	N/A	N/A
PF3D7_0502500	PF3D7_0502500.1	GO:0016021	N/A	N/A	N/A	N/A	N/A
PF3D7_0502600	PF3D7_0502600.1	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0502700	PF3D7_0502700.1	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0502800	PF3D7_0502800.1	N/A	GO:0001671	N/A	N/A	GO:0001671;GO:0008198	GO:0032781
PF3D7_0502900	PF3D7_0502900.1	N/A	N/A	N/A	GO:0005739;GO:0005634	N/A	N/A
PF3D7_0503000	PF3D7_0503000.1	GO:0005840	GO:0003735	GO:0006412	GO:0020011;GO:0015934;GO:0005762	GO:0003735	GO:0006412
PF3D7_0503100	PF3D7_0503100.1	GO:0016021	GO:0050515	GO:0016114	GO:0020011	GO:0050515	GO:0008299
PF3D7_0503200	PF3D7_0503200.1	N/A	GO:0005524;GO:0016887	N/A	GO:0005739;GO:0005664	GO:0003688	GO:0006270;GO:0033314;GO:0000278
PF3D7_0503300	PF3D7_0503300.1	N/A	GO:0003723;GO:0003676	N/A	GO:0005634;GO:0005681	GO:0003723;GO:0003676	GO:0008380
PF3D7_0503400	PF3D7_0503400.1	GO:0015629	GO:0003779	GO:0030042	GO:0015629;GO:0005737;GO:0005829;GO:0005634	GO:0051015;GO:0003785	GO:0030036;GO:0030042;GO:0051014;GO:0048870;GO:0060327
PF3D7_0503500	PF3D7_0503500.1	N/A	N/A	N/A	N/A	GO:0004672	GO:0006468
PF3D7_0503600	PF3D7_0503600.1	GO:0016459	GO:0005524;GO:0003774	N/A	GO:0015629;GO:0045177;GO:0005737;GO:0020005;GO:0031982	GO:0005524;GO:0140657;GO:0003779;GO:0051015;GO:0030898;GO:0000146;GO:0005515	GO:0007015;GO:0030050
PF3D7_0503800	PF3D7_0503800.1	GO:0005840	GO:0003735	GO:0006412	GO:0022625;GO:0005634	GO:0003735	GO:0002181;GO:0006412
PF3D7_0503900	PF3D7_0503900.1	GO:0016021	N/A	N/A	GO:0005739	N/A	N/A
PF3D7_0504000	PF3D7_0504000.1	GO:0016021	GO:0016787;GO:0000166	N/A	GO:0020011;GO:0043231	GO:0015662	GO:0006812
PF3D7_0504100	PF3D7_0504100.1	N/A	GO:0008270	N/A	N/A	GO:0008270	N/A
PF3D7_0504200	PF3D7_0504200.1	N/A	GO:0005524;GO:0004386;GO:0003676	N/A	GO:0020011;GO:0071013;GO:0005730	GO:0003723;GO:0003724;GO:0004386;GO:0003729	N/A
PF3D7_0504300	PF3D7_0504300.1	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0504400	PF3D7_0504400.1	N/A	GO:0005524;GO:0003723;GO:0004386;GO:0003676	N/A	GO:0020011;GO:0005730	GO:0003723;GO:0003724;GO:0004386;GO:0005515	N/A
PF3D7_0504500	PF3D7_0504500.1	GO:0005892	N/A	N/A	GO:0044312	N/A	N/A
PF3D7_0504600	PF3D7_0504600.1	N/A	GO:0003824	N/A	GO:0005947;GO:0030062;GO:0005739	GO:0003863;GO:0003826	GO:0009083;GO:0007584;GO:0006099
PF3D7_0504700	PF3D7_0504700.1	N/A	N/A	N/A	GO:0005813	N/A	N/A
PF3D7_0504800	PF3D7_0504800.1	N/A	N/A	N/A	GO:0005730;GO:0005634	N/A	N/A
PF3D7_0504900	PF3D7_0504900.1	GO:0016021	N/A	N/A	N/A	N/A	N/A
PF3D7_0505000	PF3D7_0505000.1	GO:0016021	N/A	N/A	GO:0005743	N/A	GO:0042407;GO:0008053;GO:0034982;GO:0065003
PF3D7_0505100	PF3D7_0505100.1	N/A	N/A	N/A	GO:1990072;GO:0031410;GO:0005634;GO:0000407	N/A	GO:0000045;GO:0030242;GO:0006888;GO:0034497
PF3D7_0505200	PF3D7_0505200.1	N/A	N/A	N/A	GO:0035267;GO:0016514;GO:0015629;GO:0005634	GO:0003682;GO:0005200	GO:0043044;GO:0007010;GO:0043967;GO:0006357
PF3D7_0505300	PF3D7_0505300.1	GO:0000139;GO:0016021	GO:0015165	GO:0090481	GO:0005794;GO:0030173	GO:0015136	N/A
PF3D7_0505400	PF3D7_0505400.1	N/A	N/A	N/A	GO:0020011	N/A	N/A
PF3D7_0505500	PF3D7_0505500.1	N/A	GO:0005524;GO:0030983	GO:0006298	GO:0032301;GO:0032300;GO:0005634	GO:0008094;GO:0003684;GO:0000400;GO:0030983	GO:0006281;GO:0036297;GO:0043570;GO:0000710;GO:0006298;GO:0045910;GO:0006290
PF3D7_0505600	PF3D7_0505600.1	N/A	N/A	N/A	GO:0005634	N/A	N/A
PF3D7_0505700	PF3D7_0505700.1	GO:0016021	N/A	N/A	GO:0020011	N/A	N/A
PF3D7_0505800	PF3D7_0505800.1	N/A	GO:0005515	N/A	GO:0005634	GO:0005515;GO:0031386;GO:0044389	GO:0019941;GO:0016925;GO:0006511
PF3D7_0505900	PF3D7_0505900.1	N/A	N/A	N/A	GO:0016592	N/A	N/A
PF3D7_0506000	PF3D7_0506000.1	GO:0016021	N/A	N/A	N/A	N/A	N/A
PF3D7_0506100	PF3D7_0506100.1	N/A	N/A	N/A	GO:0022625;GO:0015934	GO:0003723;GO:0003735	GO:1902626;GO:0000027;GO:0006412
PF3D7_0506200	PF3D7_0506200.1	N/A	GO:0003677	GO:0006352	GO:0005634;GO:0005669	GO:0016251	GO:0006352;GO:0006366
PF3D7_0506300	PF3D7_0506300.1	N/A	GO:0003677;GO:0003905	GO:0006284	N/A	GO:0003905	GO:0006284
PF3D7_0506400	PF3D7_0506400.1	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0506500	PF3D7_0506500.1	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0506600	PF3D7_0506600.1	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0506700	PF3D7_0506700.1	N/A	N/A	N/A	N/A	GO:0005096	GO:0090630;GO:0006886
PF3D7_0506800	PF3D7_0506800.1	N/A	N/A	N/A	GO:0005634	N/A	N/A
PF3D7_0506900	PF3D7_0506900.1	GO:0016021	GO:0004252	GO:0006508	GO:0009986;GO:0005886	GO:0008233	GO:0006465
PF3D7_0507000	PF3D7_0507000.1	N/A	N/A	N/A	GO:0005739	N/A	N/A
PF3D7_0507100	PF3D7_0507100.1	GO:0005840	GO:0003735	GO:0006412	GO:0022625;GO:0005634	GO:0003723;GO:0003735	GO:0006412
PF3D7_0507200	PF3D7_0507200.1	N/A	GO:0004252;GO:0008236	GO:0006508	GO:0020011;GO:0005737;GO:0005615;GO:0016020	GO:0005515;GO:0004252	GO:0016485;GO:0006508
PF3D7_0507300	PF3D7_0507300.1	N/A	N/A	N/A	GO:0020036;GO:0071944;GO:0009986	N/A	GO:0044409
PF3D7_0507400	PF3D7_0507400.1	GO:0005576;GO:0005886	N/A	N/A	GO:0020003	GO:0030414;GO:0004867	GO:0010951
PF3D7_0507500	PF3D7_0507500.1	N/A	GO:0046872;GO:0004252;GO:0008236	GO:0006508	GO:0044311;GO:0016020;GO:0020026;GO:0020004;GO:0020003	GO:0004252;GO:0008236	GO:0035891;GO:0006509;GO:0016485;GO:0006508;GO:0009410
PF3D7_0507600	PF3D7_0507600.1	GO:0030014	N/A	GO:0006402	GO:0030014;GO:0030015;GO:0000932;GO:0005634	N/A	GO:0030154;GO:0017148
PF3D7_0507700	PF3D7_0507700.1	N/A	GO:0005515	GO:0006511	GO:0005634	GO:0043130;GO:0031625	GO:0030433;GO:0006511
PF3D7_0507800	PF3D7_0507800.1	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0507900	PF3D7_0507900.1	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0508000	PF3D7_0508000.1	N/A	N/A	N/A	GO:0046658;GO:0009986;GO:0020009	GO:0046812;GO:0005515	GO:0044409
PF3D7_0508100	PF3D7_0508100.1	N/A	GO:0005515	N/A	GO:0005634	N/A	N/A
PF3D7_0508200	PF3D7_0508200.1	GO:0016021	GO:0050291	N/A	GO:0020036;GO:0020011;GO:0009986;GO:0005783	GO:0016410	N/A
PF3D7_0508300	PF3D7_0508300.1	N/A	N/A	N/A	GO:0005794;GO:0020011;GO:0031355;GO:0016020;GO:0009527	GO:0005457;GO:0015297;GO:0005338;GO:0022857	GO:0046323
